scientificName,decimalLatitude,decimalLongitude,year,basisOfRecord
Heracleum mantegazzianum Sommier & Levier,56.63106,16.47496,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.24365,15.60175,2014,PRESERVED_SPECIMEN
Heracleum mantegazzianum Sommier & Levier,59.81727,18.75928,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.81638,18.75973,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.8177,18.75975,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,65.26137,19.6367,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.52701,18.14076,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.62406,17.68662,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.62397,17.68608,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.79953,15.09097,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,62.39281,17.32285,2003,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.37181,17.99606,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.30725,12.21959,1986,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.27042,12.37498,1992,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.27452,12.35639,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.25939,12.19101,1984,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.24892,12.28412,1993,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.92957,12.28846,2009,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.2612,12.14778,1990,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.20765,12.29699,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.20064,12.20471,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.4478,12.27294,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.86652,17.62618,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.17272,12.27483,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.00475,15.6717,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.04319,12.53444,1987,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.04622,12.28603,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.94634,12.70077,1985,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.43401,12.87893,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.37372,13.23976,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.41182,12.92925,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,62.44328,17.60629,1978,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.38642,12.93629,1989,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,62.34305,17.35895,1982,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,62.34316,17.34931,1982,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,62.37476,17.3316,1982,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,62.50751,17.49368,1992,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,62.37038,17.32172,2004,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,62.37038,17.32172,1988,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,62.50303,17.49343,1992,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,62.37253,17.10926,2008,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,62.37925,17.33183,1993,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.36534,18.02674,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.81264,17.64056,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.76015,17.38505,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.89526,12.39287,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.25354,14.75552,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.05072,14.61978,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,55.66505,13.10113,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.44264,14.86841,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.44581,14.85734,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.51091,16.39221,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.5133,16.38835,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.81252,17.64075,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.46729,12.41821,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.93719,18.87485,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.23713,14.66828,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.25049,15.19404,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.63998,17.7058,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.58626,13.74197,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.59586,16.30959,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.72565,15.94979,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.73743,15.81349,1975,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.60904,16.16062,1975,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.67698,16.3424,1974,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.58228,16.15197,1974,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.66623,16.29018,1974,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.19635,14.68402,1975,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.24581,16.09994,1974,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.70981,15.77077,1974,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.23561,14.70334,1975,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.92045,16.04616,1975,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.59451,16.20697,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.39159,15.77934,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.21629,12.55174,2013,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.20604,18.15711,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.25608,12.5545,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.51059,16.39237,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.88684,15.3817,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,55.45818,13.93961,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.55691,15.73694,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.32564,15.82125,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.51332,16.38794,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.256,18.06527,2014,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.72439,11.93681,1988,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.74056,15.94495,2011,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.67192,16.28907,1985,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.56094,16.19452,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,60.84388,14.19378,1988,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,60.55838,15.13916,1979,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.74642,15.87085,2014,HUMAN_OBSERVATION
