scientificName,decimalLatitude,decimalLongitude,year,basisOfRecord,species_standard
Impatiens glandulifera Royle,58.95553,16.30178,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.77245,12.59436,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.05273,14.56581,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.99633,15.68536,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,60.03953,16.51854,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,61.09273,14.60992,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,58.20737,15.00981,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,58.83154,15.85486,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.53269,12.95529,1976,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,58.83241,15.85812,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,59.66154,16.58199,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,58.39187,15.48808,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,65.64164,22.04033,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.75809,16.56916,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.40278,15.60161,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,59.29695,18.77983,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,60.54554,17.41833,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,63.34052,19.10107,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,60.57717,17.45393,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,60.64808,12.99871,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,58.54544,15.00446,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.87922,15.27357,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.9964,15.59118,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.27239,12.19133,1986,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.26049,12.33402,NA,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.30338,12.12416,1995,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.93916,12.50847,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.27379,12.35744,NA,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.27362,12.25978,NA,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.22732,12.21499,1985,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.2353,12.27091,NA,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,58.91579,12.32057,1984,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.78863,12.61693,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.2286,12.10982,1988,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.19868,12.37869,NA,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.19889,12.19449,NA,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.1494,12.61483,NA,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.13441,12.45036,NA,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.12695,12.390319999999999,NA,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.16101,12.37402,NA,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.15906,12.24617,NA,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.13091,12.29167,NA,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,65.30516,21.54473,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.12218,12.22093,NA,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.07656,12.53018,NA,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.0599,12.45561,NA,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.07021,12.39747,1985,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.08646,12.24257,1988,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.02901,12.39066,NA,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,58.44101,16.22443,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,66.59288,20.30537,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.96243,13.14513,1989,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.95091,12.68592,1985,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.24104,12.83328,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.45667,12.92587,NA,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.42324,12.9472,1989,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.38852,13.09113,1990,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,62.50482,17.33825,1992,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,62.46762,17.45266,2004,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,62.27893,17.47124,2004,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,62.49843,17.50287,2007,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,62.50042,17.69707,2004,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,62.49553,17.36688,2004,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,62.27019,17.4515,2004,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,62.49171,17.67712,2004,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,62.51744,16.07684,2008,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,62.227290000000004,17.6511,1994,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,62.19786,17.4956,2007,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,62.38746,17.39992,1995,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,62.49957,17.4059,2004,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,62.44048,17.47053,2004,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,62.42804,17.38272,1999,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.80771,13.01313,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.67345,16.2989,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,58.4376,16.35708,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.62086,12.04399,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,58.17493,13.55307,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,63.32132,18.72121,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,63.32132,18.72121,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,59.88459,16.40079,1977,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,59.50659,16.26299,1977,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,59.78445,15.91458,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,59.1811,17.1359,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,62.50482,17.33825,1992,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,62.227290000000004,17.6511,1994,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,62.38746,17.39992,1995,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,62.27019,17.4515,2004,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,62.44048,17.47053,2004,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,62.50042,17.69707,2004,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,62.49171,17.67712,2004,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,62.46762,17.45266,2004,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,62.27893,17.47124,2004,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,62.49957,17.4059,2004,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,62.49553,17.36688,2004,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,62.42804,17.38272,1999,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,62.49843,17.50287,2007,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,62.19786,17.4956,2007,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,62.51744,16.07684,2008,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,59.80168,17.66175,2014,HUMAN_OBSERVATION,Impatiens glandulifera
